State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Evan McMullin Independent_Votes,Evan McMullin Independent_Pct,Gary Johnson Nonparty_Votes,Gary Johnson Nonparty_Pct,Richard Duncan Nonparty_Votes,Richard Duncan Nonparty_Pct,Darrell Castle Constitution_Votes,Darrell Castle Constitution_Pct,Evan McMullin Unaffiliated_Votes,Evan McMullin Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Hale__AL,4775,59.39,3173,39.47,92,1.14,,,,,,,,,,,,,,,8040,Democrat,59.39
Alabama,Henry__AL,2292,28.39,5632,69.77,148,1.84,,,,,,,,,,,,,,,8072,Republican,69.77
Alabama,Houston__AL,10664,25.01,30728,72.07,1247,2.92,,,,,,,,,,,,,,,42639,Republican,72.07
Alabama,Jackson__AL,3673,17.5,16672,79.45,639,3.05,,,,,,,,,,,,,,,20984,Republican,79.45
Alabama,Jefferson__AL,156873,51.57,134768,44.3,12550,4.13,,,,,,,,,,,,,,,304191,Democrat,51.57
Alabama,Lamar__AL,1036,14.87,5823,83.59,107,1.54,,,,,,,,,,,,,,,6966,Republican,83.59
Alabama,Lauderdale__AL,9952,25.18,27899,70.59,1674,4.23,,,,,,,,,,,,,,,39525,Republican,70.59
Alabama,Lawrence__AL,3627,24.46,10833,73.05,369,2.49,,,,,,,,,,,,,,,14829,Republican,73.05
Alabama,Lee__AL,21230,35.87,34617,58.48,3344,5.65,,,,,,,,,,,,,,,59191,Republican,58.48
Alabama,Limestone__AL,9468,23.5,29067,72.14,1759,4.36,,,,,,,,,,,,,,,40294,Republican,72.14
Alabama,Lowndes__AL,4883,73.06,1751,26.2,50,0.74,,,,,,,,,,,,,,,6684,Democrat,73.06
Alabama,Macon__AL,7566,82.78,1431,15.66,143,1.56,,,,,,,,,,,,,,,9140,Democrat,82.78
Alabama,Madison__AL,62822,38.45,89520,54.79,11047,6.76,,,,,,,,,,,,,,,163389,Republican,54.79
Alabama,Marengo__AL,5615,51.07,5233,47.6,146,1.33,,,,,,,,,,,,,,,10994,Democrat,51.07
Alabama,Marion__AL,1432,11.03,11274,86.83,278,2.14,,,,,,,,,,,,,,,12984,Republican,86.83
Alabama,Marshall__AL,4917,13.92,29233,82.78,1166,3.3,,,,,,,,,,,,,,,35316,Republican,82.78
Alabama,Mobile__AL,72186,41.79,95116,55.06,5435,3.15,,,,,,,,,,,,,,,172737,Republican,55.06
Alabama,Monroe__AL,4332,42.18,5795,56.42,144,1.4,,,,,,,,,,,,,,,10271,Republican,56.42
Alabama,Montgomery__AL,58916,61.45,34003,35.46,2959,3.09,,,,,,,,,,,,,,,95878,Democrat,61.45
Alabama,Morgan__AL,11254,22.22,37486,74.02,1904,3.76,,,,,,,,,,,,,,,50644,Republican,74.02
Alabama,Perry__AL,3824,72.45,1407,26.66,47,0.89,,,,,,,,,,,,,,,5278,Democrat,72.45
Alabama,Pickens__AL,3972,41.63,5456,57.18,114,1.19,,,,,,,,,,,,,,,9542,Republican,57.18
Alabama,Pike__AL,5056,38.4,7693,58.42,419,3.18,,,,,,,,,,,,,,,13168,Republican,58.42
Alabama,Randolph__AL,2291,22.49,7705,75.64,191,1.87,,,,,,,,,,,,,,,10187,Republican,75.64
Alabama,Russell__AL,9579,49.75,9210,47.83,467,2.42,,,,,,,,,,,,,,,19256,Democrat,49.75
Alabama,Shelby__AL,22977,22.69,73020,72.12,5257,5.19,,,,,,,,,,,,,,,101254,Republican,72.12
