State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Eric Hass Socialist Labor_Votes,Eric Hass Socialist Labor_Pct,Orval Faubus National States' Rights_Votes,Orval Faubus National States' Rights_Pct,Farrell Dobbs Socialist Workers_Votes,Farrell Dobbs Socialist Workers_Pct,All Others Various_Votes,All Others Various_Pct,Others_Votes,Others_Pct,Farrell Dobbs No Party Listed_Votes,Farrell Dobbs No Party Listed_Pct,Rutherford Decker Prohibition_Votes,Rutherford Decker Prohibition_Pct,Unpledged electors States’ Rights_Votes,Unpledged electors States’ Rights_Pct,Various Candidates Write-ins_Votes,Various Candidates Write-ins_Pct,Lars Daly Independent_Votes,Lars Daly Independent_Pct,Eric Hass Industrial Government_Votes,Eric Hass Industrial Government_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Orval Faubus National States’ Rights_Votes,Orval Faubus National States’ Rights_Pct,C. Benton Coiner Virginia Conservative_Votes,C. Benton Coiner Virginia Conservative_Pct,Total_Votes,Winner,Winner_Pct
Arkansas,Newton__AR,844,31.41,1814,67.51,0,0.0,0,0.0,29,1.08,,,,,,,,,,,,,,,,,,,,,,,,,2687,Republican,67.51
Arkansas,Ouachita__AR,5169,63.1,2439,29.77,0,0.0,0,0.0,584,7.13,,,,,,,,,,,,,,,,,,,,,,,,,8192,Democrat,63.1
Arkansas,Perry__AR,789,56.97,501,36.17,0,0.0,0,0.0,95,6.86,,,,,,,,,,,,,,,,,,,,,,,,,1385,Democrat,56.97
Arkansas,Phillips__AR,4105,61.48,2168,32.47,0,0.0,0,0.0,404,6.05,,,,,,,,,,,,,,,,,,,,,,,,,6677,Democrat,61.48
Arkansas,Pike__AR,997,47.43,1013,48.19,0,0.0,0,0.0,92,4.38,,,,,,,,,,,,,,,,,,,,,,,,,2102,Republican,48.19
Arkansas,Poinsett__AR,2817,51.75,2430,44.64,0,0.0,0,0.0,197,3.62,,,,,,,,,,,,,,,,,,,,,,,,,5444,Democrat,51.75
Arkansas,Polk__AR,1635,45.02,1882,51.82,0,0.0,0,0.0,115,3.17,,,,,,,,,,,,,,,,,,,,,,,,,3632,Republican,51.82
Arkansas,Pope__AR,2760,49.38,2573,46.04,0,0.0,0,0.0,256,4.58,,,,,,,,,,,,,,,,,,,,,,,,,5589,Democrat,49.38
Arkansas,Prairie__AR,1680,63.73,734,27.85,0,0.0,0,0.0,222,8.42,,,,,,,,,,,,,,,,,,,,,,,,,2636,Democrat,63.73
Arkansas,Pulaski__AR,26034,46.67,22146,39.7,0,0.0,0,0.0,7608,13.64,,,,,,,,,,,,,,,,,,,,,,,,,55788,Democrat,46.67
Arkansas,Randolph__AR,1556,47.47,1620,49.42,0,0.0,0,0.0,102,3.11,,,,,,,,,,,,,,,,,,,,,,,,,3278,Republican,49.42
Arkansas,St__Francis__AR,2432,53.83,1786,39.53,0,0.0,0,0.0,300,6.64,,,,,,,,,,,,,,,,,,,,,,,,,4518,Democrat,53.83
Arkansas,Saline__AR,3898,57.4,2195,32.32,0,0.0,0,0.0,698,10.28,,,,,,,,,,,,,,,,,,,,,,,,,6791,Democrat,57.4
Arkansas,Scott__AR,1116,49.29,1137,50.22,0,0.0,0,0.0,11,0.49,,,,,,,,,,,,,,,,,,,,,,,,,2264,Republican,50.22
